,stimulli,subject,mean_fixation_start,mean_duration
0,Survey-Starting-Agreement,P00,826063.6658459558,168.42630735294105
1,Survey-Starting-Agreement,P01,218248.84236875002,191.09250000000011
2,Survey-Starting-Agreement,P02,549948.7395148353,1384.1753862637363
3,Survey-Starting-Agreement,P03,394615.3570932989,1016.8655664948452
4,Survey-Starting-Agreement,P04,85272.35904375001,127.73716249999998
5,Survey-Starting-Agreement,P05,3260.770895238095,150.71347857142857
6,Survey-Starting-Agreement,P06,1204.7957000000001,150.48846428571434
7,Survey-Starting-Agreement,P07,7071.612430555553,175.6682398148149
8,Survey-Starting-Agreement,P08,855862.9606398148,9740.29552638889
9,Instructions-Part-1,P00,120281.91006250001,198.8248024999994
10,Instructions-Part-1,P01,1680.81975,161.3688250000001
11,Instructions-Part-1,P02,479527.88120862073,154.5315275862073
12,Instructions-Part-1,P03,365909.57713166665,5689.940626666666
13,Instructions-Part-1,P04,4197.152687878788,195.68812727272757
14,Instructions-Part-1,P05,127514.13041874999,138.12617812499974
15,Instructions-Part-1,P06,472133.3177829268,3413.977706097561
16,Instructions-Part-1,P07,2764.623379545454,150.7345977272729
17,Instructions-Part-1,P08,5796.292734444445,206.4928877777775
18,logo01,P00,3045.687025000001,291.9285874999998
19,logo01,P01,255913.0747333333,243.46396111111048
20,logo01,P02,117059.76830555555,254.05266666666887
21,logo01,P03,384853.41611499997,246.68722999999954
22,logo01,P04,267934.91849,212.1764574999996
23,logo01,P05,201148.1089795455,188.3600409090907
24,logo01,P06,2946.5461823529417,186.21347941176523
25,logo01,P07,2739.448868421053,192.3074131578948
26,logo01,P08,287263.35915882356,227.59035294117825
27,logo02_name-white,P00,2942.557040624998,306.5902500000003
28,logo02_name-white,P01,2515.6795763157897,260.79092631578993
29,logo02_name-white,P02,2716.6408119047646,209.48657380952434
30,logo02_name-white,P03,124114.8273409091,208.5623045454532
31,logo02_name-white,P04,2457.77925,253.45748055555546
32,logo02_name-white,P05,2803.546909523809,203.09078095238087
33,logo02_name-white,P06,214041.07476666666,196.3434777777777
34,logo02_name-white,P07,242658.9017931818,218.5193272727273
35,logo02_name-white,P08,329995.9731138889,270.5222250000006
36,logo03_name-white,P00,2938.6583687500006,258.22771562499975
37,logo03_name-white,P01,82297.0329868421,242.5131868421047
38,logo03_name-white,P02,194893.73471578947,239.56851578947408
39,logo03_name-white,P03,133996.32133181818,445.06357727272695
40,logo03_name-white,P04,327369.79640625004,297.7033656249996
41,logo03_name-white,P05,481716.96900294116,221.238538235294
42,logo03_name-white,P06,231241.8151357143,317.62414285714266
43,logo03_name-white,P07,608984.0193138889,269.2510416666672
44,logo03_name-white,P08,403530.2589428571,330.0905821428585
45,logo04_name-white,P00,3149.71068333333,207.84801190476233
46,logo04_name-white,P01,3068.8718868421056,246.5296315789471
47,logo04_name-white,P02,3056.253823809527,198.94006190476188
48,logo04_name-white,P03,1636.5713714285714,739.987207142858
49,logo04_name-white,P04,286700.45358421054,245.19175789473957
50,logo04_name-white,P05,86472.32398421052,203.36635000000047
51,logo04_name-white,P06,317342.510390625,179.8824343750007
52,logo04_name-white,P07,369260.31318947364,258.2151947368436
53,logo04_name-white,P08,214883.6688473684,243.0890894736831
54,Survey-FavoriteBrand,P00,2610.8909368421087,229.6389052631563
55,Survey-FavoriteBrand,P01,418067.7589348214,259.6343169642854
56,Survey-FavoriteBrand,P02,4225.919810294117,262.0967264705882
57,Survey-FavoriteBrand,P03,83906.04060243902,285.9719390243898
58,Survey-FavoriteBrand,P04,8042.211014393937,212.58412121212024
59,Survey-FavoriteBrand,P05,566198.4648082091,26153.957502985075
60,Survey-FavoriteBrand,P06,477132.97984,224.60024250000052
61,Survey-FavoriteBrand,P07,300351.4501,268.6200128205135
62,Survey-FavoriteBrand,P08,6495.1913009999935,232.98191299999831
63,Survey-BrandAwareness,P00,987.1056055555532,182.70292777777638
64,Survey-BrandAwareness,P01,132082.23063421054,254.3433807017526
65,Survey-BrandAwareness,P02,64837.357130952376,292.1972309523785
66,Survey-BrandAwareness,P03,3731.1199826923016,227.19371923077142
67,Survey-BrandAwareness,P04,348722.549716129,283.97195161290284
68,Survey-BrandAwareness,P05,356866.478863492,169.8177595238109
69,Survey-BrandAwareness,P06,152393.39231944445,132.33108333333266
70,Survey-BrandAwareness,P07,354614.7471409091,260.096797727271
71,Survey-BrandAwareness,P08,3122.5188481481446,178.8836944444408
72,Instructions-Part-2,P00,570105.4835895161,191.80940080645257
73,Instructions-Part-2,P01,368681.3528233333,220.9452744444451
74,Instructions-Part-2,P02,7778.0107499999995,182.08378032786933
75,Instructions-Part-2,P03,217555.16007065214,151.7211673913043
76,Instructions-Part-2,P04,5254.023013157889,197.38067368421352
77,Instructions-Part-2,P05,5600.0400378048835,173.6765695121963
78,Instructions-Part-2,P06,280384.47152931034,179.35816896551722
79,Instructions-Part-2,P07,39489.436308823526,177.99107058823012
80,Instructions-Part-2,P08,512526.15984062495,220.94142187500037
81,logo-product01,P00,2696.6361794117674,307.58180588235666
82,logo-product01,P01,2938.2431250000027,265.190458333334
83,logo-product01,P02,2947.8124294117692,280.16463529412033
84,logo-product01,P03,2816.6518886363574,214.89299772726972
85,logo-product01,P04,460434.2632931819,190.87115454545858
86,logo-product01,P05,3340.0797749999947,220.3867399999981
87,logo-product01,P06,3164.8808823529466,201.816664705885
88,logo-product01,P07,2515.850579411763,261.2703617647075
89,logo-product01,P08,136678.80731666667,203.13153958333282
90,logo-product02,P00,2969.850711111108,251.63510833333487
91,logo-product02,P01,130653.80427894737,261.18862105263355
92,logo-product02,P02,2551.0334941176507,272.738394117647
93,logo-product02,P03,2483.771457894732,255.080078947367
94,logo-product02,P04,232428.509575,278.5186305555554
95,logo-product02,P05,2992.7835021739097,200.8638260869559
96,logo-product02,P06,2582.3759968749932,243.57798124999684
97,logo-product02,P07,2806.0948108695675,184.95264130434697
98,logo-product02,P08,306105.60197608697,214.92098260869574
99,logo-product03,P00,190663.18236500002,234.3633924999994
100,logo-product03,P01,2952.853144117647,298.8350558823536
101,logo-product03,P02,153438.8180375,305.0066124999955
102,logo-product03,P03,340538.8808294118,292.1132205882367
103,logo-product03,P04,2530.757989473684,261.02830789473427
104,logo-product03,P05,139509.0974263158,217.86705526316032
105,logo-product03,P06,2628.193380555562,216.21054722222232
106,logo-product03,P07,2625.8132775000026,207.31574249999966
107,logo-product03,P08,2717.1119613636397,221.944697727274
108,logo-product04,P00,3101.7761722222253,259.68974722222544
109,logo-product04,P01,111821.75165499999,242.47828499999827
110,logo-product04,P02,2879.384155263152,242.37335789474022
111,logo-product04,P03,259927.92869166672,236.89529166666838
112,logo-product04,P04,2639.924221052625,249.0079526315793
113,logo-product04,P05,2595.3718630434755,177.11363260869805
114,logo-product04,P06,2746.1885277777756,203.12721666666766
115,logo-product04,P07,2441.0721472222212,224.41261666666665
116,logo-product04,P08,2819.0096949999975,242.6215450000024
117,Survey-FavoriteProduct,P00,996.8065624999986,624.7309124999999
118,Survey-FavoriteProduct,P01,6114.571339189192,348.8370797297322
119,Survey-FavoriteProduct,P02,315356.18064833333,266.8897616666668
120,Survey-FavoriteProduct,P03,2100.3230461538474,343.46360769230677
121,Survey-FavoriteProduct,P04,1463.974662499999,381.3698791666645
122,Survey-FavoriteProduct,P05,1395.2669999999944,430.9950499999988
123,Survey-FavoriteProduct,P06,376582.1678211539,283.9861211538463
124,Survey-FavoriteProduct,P07,3778.9777499999955,261.2088750000047
125,Survey-FavoriteProduct,P08,3901.4533416666673,235.61914499999548
126,Instructions-Part-3,P00,99660.1310515625,153.49612968749943
127,Instructions-Part-3,P01,338144.1341294117,210.1148833333316
128,Instructions-Part-3,P02,2852.104364583327,170.46825833333244
129,Instructions-Part-3,P03,4246.470438235299,159.85863529411589
130,Instructions-Part-3,P04,2041.395002499994,160.29345749999703
131,Instructions-Part-3,P05,3477.5984981481456,162.08259259259424
132,Instructions-Part-3,P06,3496.7996519999974,150.80759999999546
133,Instructions-Part-3,P07,4155.7675934782565,180.81937173912976
134,Instructions-Part-3,P08,4487.916558064517,218.1217903225737
135,Survey-FavoriteVideoAd,P00,3457.172378846176,243.6470673077027
136,Survey-FavoriteVideoAd,P01,5754.339481944464,300.7280388888822
137,Survey-FavoriteVideoAd,P02,645891.9649407408,269.4057324074124
138,Survey-FavoriteVideoAd,P03,2440.0959750000184,268.7872024999844
139,Survey-FavoriteVideoAd,P04,4144.501457407401,258.0201722222157
140,Survey-FavoriteVideoAd,P05,2822.5492904762013,239.1355119047665
141,Survey-FavoriteVideoAd,P06,344919.3905935484,260.006299999999
142,Survey-FavoriteVideoAd,P07,1064767.8634944444,288.68192222221177
143,Survey-FavoriteVideoAd,P08,3632.8008460000087,221.3425139999995
